2019-06-27 10:50:37,003 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11424 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 10:50:37,007 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 10:54:14,886 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11468 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 10:54:14,891 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 10:54:19,734 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarted] - Started DemoApplication in 5.929 seconds (JVM running for 7.634)
2019-06-27 11:03:54,853 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11503 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 11:03:54,859 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 11:04:00,589 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11505 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 11:04:00,607 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 11:04:04,332 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarted] - Started DemoApplication in 10.519 seconds (JVM running for 13.392)
2019-06-27 11:08:06,163 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11526 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 11:08:06,170 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 11:08:09,566 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarted] - Started DemoApplication in 4.109 seconds (JVM running for 5.304)
2019-06-27 11:14:35,680 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11534 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 11:14:35,684 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 11:14:39,072 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarted] - Started DemoApplication in 4.175 seconds (JVM running for 5.511)
2019-06-27 11:37:07,577 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11592 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 11:37:07,581 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 11:37:11,629 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarted] - Started DemoApplication in 5.071 seconds (JVM running for 6.812)
2019-06-27 11:42:42,102 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarting] - Starting DemoApplication on maoweipengdeMacBook-Air.local with PID 11620 (/Users/maoweipeng/git_repository/bootDemo/demo-starter/target/classes started by maoweipeng in /Users/maoweipeng/git_repository/bootDemo/demo-starter)
2019-06-27 11:42:42,106 - demo - com.mwp.demo.DemoApplication - INFO [main]  [SpringApplication:logStartupProfileInfo] - No active profile set, falling back to default profiles: default
2019-06-27 11:42:47,546 - demo - com.mwp.demo.DemoApplication - INFO [main]  [StartupInfoLogger:logStarted] - Started DemoApplication in 6.73 seconds (JVM running for 8.335)
